DAY,SIGNIFICANCE
1/01/2019,New Year's Day
28/01/2019,Australia Day
19/04/2019,Good Friday
20/04/2019,Easter Saturday
21/04/2019,Easter Sunday
22/04/2019,Easter Monday
25/04/2019,Anzac Day
10/06/2019,Queen's Birthday
7/10/2019,Labour Day
25/12/2019,Christmas Day
26/12/2019,Boxing Day
1/01/2020,New Year's Day
27/01/2020,Australia Day
10/04/2020,Good Friday
11/04/2020,Easter Saturday
12/04/2020,Easter Sunday
13/04/2020,Easter Monday
25/04/2020,Anzac Day
8/06/2020,Queen's Birthday
5/10/2020,Labour Day
25/12/2020,Christmas Day
26/12/2020,Boxing Day
28/12/2020,Additional Day
1/01/2021,New Year's Day
26/01/2021,Australia Day
2/04/2021,Good Friday
3/04/2021,Easter Saturday
4/04/2021,Easter Sunday
5/04/2021,Easter Monday
25/04/2021,Anzac Day
14/06/2021,Queen's Birthday
4/10/2021,Labour Day
25/12/2021,Christmas Day
26/12/2021,Boxing Day
27/12/2021,Additional Day
28/12/2021,Additional Day
